,Open,High,Low,Adj Close,Volume
2022/2/18 6:11,4683721,4683721,4683721,4683721,1914175488
2022/2/18 6:12,4683345.5,4683345.5,4683345.5,4683345.5,0
2022/2/18 6:13,4684813,4684813,4684813,4684813,2455240704
2022/2/18 6:14,4684559,4684559,4684559,4684559,0
2022/2/18 6:15,4684762,4684762,4684762,4684762,617873408
2022/2/18 6:16,4685329,4685329,4685329,4685329,295960576
2022/2/18 6:17,4686231.5,4686231.5,4686231.5,4686231.5,1031012352
2022/2/18 6:18,4686605.5,4686605.5,4686605.5,4686605.5,1004011520
2022/2/18 6:19,4686626,4686626,4686626,4686626,36175872
2022/2/18 6:20,4685870.5,4685870.5,4685870.5,4685870.5,0
2022/2/18 6:21,4685730,4685730,4685730,4685730,0
2022/2/18 6:22,4686012,4686012,4686012,4686012,72876032
2022/2/18 6:23,4686857.5,4686857.5,4686857.5,4686857.5,4771545088
2022/2/18 6:24,4687083,4687083,4687083,4687083,0
2022/2/18 6:25,4687072.5,4687072.5,4687072.5,4687072.5,169869312
2022/2/18 6:26,4687303.5,4687303.5,4687303.5,4687303.5,758120448
2022/2/18 6:27,4687237.5,4687237.5,4687237.5,4687237.5,470548480
2022/2/18 6:28,4686604,4686604,4686604,4686604,0
2022/2/18 6:29,4685639.5,4685639.5,4685639.5,4685639.5,0
